20.49,100939.27,74.06,4.89,0.00,171.07,332.36,508.31,429244.00,228,1
20.49,100935.86,74.34,4.89,0.00,180.84,327.47,513.20,429978.00,56,1
20.50,100929.69,74.86,0.00,0.00,161.29,307.92,469.21,430712.00,88,1
20.51,100935.20,74.38,0.00,0.00,156.40,171.07,327.47,431446.00,76,1
20.50,100938.70,74.10,0.00,0.00,151.52,288.37,439.88,432178.00,84,1
20.52,100937.80,74.18,0.00,0.00,146.63,293.26,439.88,432911.00,84,1
20.51,100941.11,73.90,0.00,0.00,136.85,278.59,415.44,433643.00,88,1
20.52,100942.43,73.79,0.00,0.00,107.53,107.53,215.05,434376.00,160,1
20.52,100940.98,73.91,0.00,0.00,122.19,63.54,185.73,435109.00,132,1
20.53,100937.28,74.22,4.89,0.00,127.08,58.65,190.62,435845.00,128,1
20.54,100943.29,73.72,4.89,0.00,127.08,63.54,195.50,436577.00,108,1
20.54,100938.73,74.10,4.89,0.00,131.96,92.86,229.72,437310.00,216,1
20.56,100919.73,75.69,4.89,0.00,278.59,122.19,405.67,439510.00,228,1
20.56,100933.21,74.56,0.00,0.00,337.24,112.41,449.66,440244.00,204,1
20.56,100936.25,74.31,4.89,0.00,342.13,117.30,464.32,440980.00,216,1
20.57,100931.26,74.72,4.89,0.00,317.69,117.30,439.88,441713.00,76,1
20.57,100935.72,74.35,4.89,0.00,141.74,117.30,263.93,442446.00,192,1
20.58,100941.02,73.91,4.89,0.00,107.53,63.54,175.95,443180.00,168,1
20.66,100942.02,73.83,4.89,0.00,63.54,53.76,122.19,453430.00,240,1
20.66,100946.41,73.46,4.89,0.00,63.54,63.54,131.96,454161.00,176,1
20.67,100923.48,75.37,4.89,0.00,78.20,92.86,175.95,454893.00,204,1
20.68,100938.33,74.13,4.89,0.00,102.64,117.30,224.83,455624.00,216,1
20.68,100933.91,74.50,4.89,0.00,122.19,122.19,249.27,456360.00,220,1
20.69,100937.25,74.22,4.89,0.00,97.75,410.56,513.20,457094.00,248,1
20.69,100945.02,73.58,4.89,0.00,97.75,92.86,195.50,457827.00,228,1
20.70,100945.47,73.54,4.89,0.00,97.75,112.41,215.05,458558.00,220,1
20.71,100942.84,73.76,4.89,0.00,92.86,112.41,210.17,459291.00,112,1
20.71,100926.93,75.09,4.89,0.00,102.64,107.53,215.05,460023.00,124,1
20.71,100928.48,74.96,4.89,0.00,112.41,107.53,224.83,460758.00,204,1
20.72,100940.41,73.96,4.89,0.00,112.41,107.53,224.83,461494.00,148,1
20.72,100940.34,73.97,4.89,0.00,112.41,107.53,224.83,462227.00,224,1
20.72,100938.02,74.16,4.89,0.00,112.41,107.53,224.83,462961.00,196,1
20.74,100941.37,73.88,4.89,0.00,107.53,102.64,215.05,463694.00,172,1
20.74,100943.30,73.72,4.89,0.00,107.53,97.75,210.17,464429.00,164,1
20.74,100935.94,74.33,4.89,0.00,102.64,92.86,200.39,465162.00,180,1
20.75,100939.95,74.00,4.89,0.00,102.64,92.86,200.39,465894.00,24,1
20.75,100947.80,73.34,4.89,0.00,97.75,92.86,195.50,466628.00,200,1
20.75,100945.16,73.56,4.89,0.00,107.53,92.86,205.28,467359.00,12,1
20.76,100944.22,73.64,4.89,0.00,102.64,97.75,205.28,468091.00,164,1
20.76,100946.83,73.43,4.89,0.00,107.53,92.86,205.28,468824.00,228,1
20.77,100946.36,73.46,4.89,0.00,127.08,117.30,249.27,469557.00,108,1
20.78,100940.52,73.95,9.78,0.00,229.72,78.20,317.69,470290.00,32,1
20.78,100944.54,73.62,9.78,0.00,307.92,63.54,381.23,471022.00,32,1
20.79,100944.00,73.66,4.89,0.00,263.93,58.65,327.47,471756.00,168,1
20.79,100953.44,72.87,4.89,0.00,435.00,58.65,498.53,472488.00,164,1
20.79,100950.46,73.12,24.44,0.00,571.85,58.65,654.94,473222.00,120,1
20.80,100944.28,73.64,19.55,0.00,635.39,58.65,713.59,473956.00,204,1
20.82,100948.92,73.21,9.78,0.00,449.66,43.99,503.42,478358.00,200,1
20.83,100949.47,73.20,4.89,0.00,757.58,48.88,811.34,479091.00,232,1
20.84,100942.25,73.81,14.66,0.00,821.11,141.74,977.52,479824.00,120,1
20.84,100943.59,73.70,14.66,0.00,879.77,24.44,918.87,480559.00,64,1
20.85,100935.80,74.35,19.55,0.00,904.20,29.33,953.08,481292.00,128,1
20.85,100938.91,74.09,19.55,0.00,884.65,29.33,933.53,482028.00,216,1
20.88,100938.35,74.13,24.44,0.00,904.20,34.21,962.85,487168.00,100,1
20.90,100943.60,73.69,0.00,0.00,659.82,43.99,703.81,513537.00,72,1
20.90,100949.31,73.22,0.00,0.00,659.82,34.21,694.04,514268.00,64,1
20.90,100953.70,72.85,0.00,0.00,659.82,43.99,703.81,514999.00,0,1
20.91,100948.68,73.27,0.00,0.00,684.26,34.21,718.48,522322.00,52,1
20.91,100947.16,73.40,0.00,0.00,689.15,34.21,723.36,523054.00,108,1
20.92,100940.88,73.92,0.00,0.00,689.15,34.21,723.36,523789.00,72,1
20.91,100943.61,73.69,0.00,0.00,63.54,24.44,87.98,524520.00,108,1
20.92,100944.86,73.59,0.00,0.00,58.65,19.55,78.20,525251.00,196,1
20.92,100945.58,73.53,14.66,0.00,483.87,29.33,527.86,527442.00,48,1
20.92,100939.50,74.04,4.89,0.00,791.79,43.99,840.66,528176.00,28,1
20.93,100936.96,74.25,19.55,0.00,762.46,68.43,850.44,528910.00,140,1
20.92,100945.41,73.54,4.89,0.00,728.25,175.95,909.09,529643.00,188,1
20.93,100947.61,73.36,4.89,0.00,723.36,141.74,869.99,530377.00,176,1
20.93,100948.79,73.26,29.33,0.00,752.69,219.94,1001.96,531110.00,136,1
20.93,100945.21,73.56,29.33,0.00,752.69,219.94,1001.96,532582.00,68,1
20.94,100948.49,73.29,14.66,0.00,175.95,48.88,239.49,533316.00,120,1
20.93,100947.58,73.36,19.55,0.00,92.86,34.21,146.63,534062.00,0,1
20.94,100947.72,73.35,14.66,0.00,493.65,39.10,547.41,534792.00,80,1
20.94,100949.23,73.23,4.89,0.00,713.59,39.10,757.58,535525.00,100,1
20.94,100945.59,73.53,4.89,0.00,723.36,39.10,767.35,536257.00,168,1
20.95,100941.67,73.85,14.66,0.00,205.28,39.10,259.04,536990.00,120,1
20.95,100936.27,74.31,19.55,0.00,87.98,39.10,146.63,538457.00,192,1
20.95,100937.45,74.21,14.66,0.00,83.09,39.10,136.85,539192.00,168,1
20.95,100938.97,74.08,14.66,0.00,136.85,39.10,190.62,539924.00,36,1
20.95,100939.64,74.03,29.33,0.00,757.58,58.65,845.55,540657.00,100,1
20.95,100946.41,73.46,24.44,0.00,767.35,58.65,850.44,541390.00,240,1
