18.49,100972.70,71.27,0.00,0.00,127.08,0.00,127.08,50949.00,194,1
18.49,100969.56,71.55,0.00,0.00,122.19,0.00,122.19,51677.00,50,1
18.49,100969.59,71.53,0.00,0.00,78.20,0.00,78.20,52405.00,54,1
18.49,100962.94,72.08,0.00,0.00,68.43,0.00,68.43,53130.00,102,1
18.49,100970.24,71.47,0.00,0.00,43.99,0.00,43.99,53856.00,130,1
18.49,100967.89,71.67,0.00,0.00,73.31,0.00,73.31,54584.00,246,1
18.49,100967.22,71.72,0.00,0.00,112.41,0.00,112.41,55311.00,64,1
18.49,100968.83,71.59,0.00,0.00,92.86,0.00,92.86,56038.00,136,1
18.49,100965.89,71.83,0.00,0.00,73.31,0.00,73.31,56764.00,204,1
18.49,100967.14,71.73,0.00,0.00,83.09,0.00,83.09,57490.00,122,1
18.49,100967.89,71.67,0.00,0.00,58.65,0.00,58.65,58217.00,162,1
18.49,100965.02,71.91,0.00,0.00,43.99,0.00,43.99,58943.00,192,1
18.49,100966.03,71.82,0.00,0.00,53.76,0.00,53.76,59669.00,88,1
18.50,100967.96,71.66,0.00,0.00,58.65,0.00,58.65,60396.00,214,1
18.50,100962.75,72.10,0.00,0.00,68.43,0.00,68.43,61123.00,152,1
18.50,100966.61,71.77,0.00,0.00,73.31,0.00,73.31,61849.00,98,1
18.51,100968.28,71.63,0.00,0.00,92.86,0.00,92.86,62574.00,120,1
18.50,100971.06,71.40,0.00,0.00,107.53,0.00,107.53,63300.00,128,1
18.50,100966.44,71.79,0.00,0.00,97.75,0.00,97.75,64028.00,150,1
18.50,100966.62,71.77,0.00,0.00,97.75,4.89,102.64,64754.00,18,1
18.50,100965.37,71.88,0.00,0.00,131.96,0.00,131.96,65483.00,74,1
18.50,100968.98,71.58,0.00,0.00,156.40,0.00,156.40,66210.00,172,1
18.50,100967.53,71.70,0.00,0.00,156.40,0.00,156.40,66938.00,134,1
18.50,100971.16,71.40,0.00,0.00,151.52,0.00,151.52,67666.00,98,1
18.50,100967.13,71.73,0.00,0.00,151.52,0.00,151.52,68393.00,236,1
18.50,100967.46,71.70,0.00,0.00,141.74,0.00,141.74,69123.00,144,1
18.51,100969.86,71.50,0.00,0.00,127.08,0.00,127.08,69851.00,88,1
18.50,100964.84,71.92,0.00,0.00,102.64,0.00,102.64,71308.00,150,1
18.50,100967.22,71.72,0.00,0.00,78.20,0.00,78.20,72036.00,184,1
18.51,100966.33,71.80,0.00,0.00,78.20,0.00,78.20,72762.00,0,1
18.51,100971.04,71.40,0.00,0.00,102.64,0.00,102.64,73486.00,152,1
18.51,100966.93,71.75,0.00,0.00,97.75,0.00,97.75,74214.00,172,1
18.51,100966.50,71.79,0.00,0.00,141.74,0.00,141.74,75668.00,220,1
18.51,100966.59,71.77,0.00,0.00,322.58,9.78,332.36,77126.00,88,1
18.51,100970.11,71.48,0.00,0.00,107.53,0.00,107.53,78582.00,180,1
18.51,100972.63,71.27,0.00,0.00,117.30,0.00,117.30,79310.00,158,1
18.51,100967.65,71.69,0.00,0.00,102.64,0.00,102.64,80038.00,192,1
18.51,100971.02,71.41,0.00,0.00,107.53,0.00,107.53,80766.00,36,1
18.52,100969.23,71.56,0.00,0.00,156.40,0.00,156.40,81497.00,64,1
