0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
.00,0.00,4134.00,10501776.00,144,1
21.00,100773.35,91.21,0.00,0.00,0.00,0.00,0.00,4843.00,10572856.00,56,1
21.05,100773.50,91.20,0.00,0.00,0.00,0.00,0.00,5552.00,10643776.00,64,1
21.07,100774.39,91.13,0.00,0.00,0.00,0.00,0.00,6259.00,10714560.00,192,1
21.09,100773.11,91.24,0.00,0.00,0.00,0.00,0.00,6968.00,10785344.00,64,1
21.09,100771.55,91.36,0.00,0.00,0.00,0.00,0.00,7676.00,10856002.00,66,1
21.09,100765.20,91.90,0.00,0.00,0.00,0.00,0.00,8384.00,10926220.00,140,1
21.10,100765.95,91.83,0.00,0.00,0.00,0.00,0.00,9093.00,10997188.00,196,1
21.11,100764.70,91.94,0.00,0.00,0.00,0.00,0.00,9801.00,11067876.00,228,1
21.12,100765.75,91.85,0.00,0.00,0.00,0.00,0.00,10510.00,11138872.00,56,1
21.13,100766.49,91.52,0.00,0.00,0.00,0.00,0.00,11218.00,11209714.00,242,1
21.13,100770.95,91.41,0.00,0.00,0.00,0.00,0.00,11928.00,11281150.00,254,1
21.13,100769.56,91.53,0.00,0.00,0.00,0.00,0.00,12638.00,11352024.00,216,1
21.14,100770.72,91.43,0.00,0.00,0.00,0.00,0.00,13348.00,11423130.00,154,1
21.15,100766.13,91.82,0.00,0.00,0.00,0.00,0.00,14058.00,11493710.00,78,1
21.16,100764.64,91.94,0.00,0.00,0.00,0.00,0.00,14767.00,11564474.00,186,1
21.16,100759.70,92.36,0.00,0.00,0.00,0.00,0.00,15476.00,11634922.00,234,1
21.16,100753.11,92.90,0.00,0.00,0.00,0.00,0.00,16186.00,11705318.00,230,1
21.17,100753.52,92.87,0.00,0.00,0.00,0.00,0.00,16896.00,11776356.00,100,1
21.17,100755.62,92.70,0.00,0.00,0.00,0.00,0.00,17605.00,11847448.00,24,1
21.18,100748.89,93.26,0.00,0.00,0.00,0.00,0.00,18314.00,11917734.00,166,1
21.18,100752.64,92.94,0.00,0.00,0.00,0.00,0.00,19023.00,11988978.00,242,1
21.17,100751.70,93.02,0.00,0.00,0.00,0.00,0.00,19733.00,12059890.00,242,1
21.16,100750.68,93.11,0.00,0.00,0.00,0.00,0.00,20444.00,12130896.00,80,1
21.17,100752.84,92.93,0.00,0.00,0.00,0.00,0.00,21152.00,12201896.00,168,1
21.18,100753.86,92.84,0.00,0.00,0.00,0.00,0.00,21862.00,12272988.00,92,1
21.19,100753.26,92.89,0.00,0.00,0.00,0.00,0.00,22571.00,12343834.00,26,1
21.19,100756.36,92.64,0.00,0.00,0.00,0.00,0.00,23279.00,12414918.00,198,1
21.19,100752.98,92.92,0.00,0.00,0.00,0.00,0.00,23989.00,12485610.00,234,1
21.18,100754.06,92.83,0.00,0.00,0.00,0.00,0.00,24698.00,12556608.00,64,1
21.18,100757.41,92.55,0.00,0.00,0.00,0.00,0.00,25407.00,12627814.00,102,1
21.17,100759.50,92.37,0.00,0.00,0.00,0.00,0.00,26117.00,12699006.00,126,1
21.16,100759.03,92.41,0.00,0.00,0.00,0.00,0.00,26826.00,12769860.00,68,1
21.16,100756.16,92.82,0.00,0.00,0.00,0.00,0.00,27535.00,12840514.00,66,1
21.14,100753.92,92.84,0.00,0.00,0.00,0.00,0.00,28243.00,12911090.00,242,1
21.11,100757.50,92.54,0.00,0.00,0.00,0.00,0.00,28954.00,12982516.00,244,1
21.12,100758.48,92.46,0.00,0.00,0.00,0.00,0.00,29664.00,13053606.00,166,1
21.11,100757.33,92.55,0.00,0.00,0.00,0.00,0.00,30373.00,13124400.00,48,1
21.12,100758.66,92.44,0.00,0.00,0.00,0.00,0.00,31082.00,13195422.00,158,1
21.11,100760.91,92.25,0.00,0.00,0.00,0.00,0.00,31792.00,13266628.00,196,1
21.08,100759.52,92.37,0.00,0.00,0.00,0.00,0.00,32501.00,13337398.00,54,1
21.07,100758.81,92.43,0.00,0.00,0.00,0.00,0.00,33210.00,13408232.00,232,1
21.07,100761.20,92.23,0.00,0.00,0.00,0.00,0.00,33920.00,13479450.00,26,1
21.04,100759.88,92.34,0.00,0.00,0.00,0.00,0.00,34628.00,13550126.00,46,1
21.02,100758.99,92.41,0.00,0.00,0.00,0.00,0.00,35337.00,13620944.00,208,1
21.01,100753.02,92.91,0.00,0.00,0.00,0.00,0.00,36046.00,13691294.00,158,1
20.98,100758.81,92.43,0.00,0.00,0.00,0.00,0.00,36757.00,13762922.00,106,1
20.97,100754.32,92.80,0.00,0.00,0.00,0.00,0.00,37467.00,13833510.00,38,1
20.95,100754.58,92.78,0.00,0.00,0.00,0.00,0.00,38175.00,13904332.00,204,1
20.91,100758.56,92.45,0.00,0.00,0.00,0.00,0.00,38885.00,13975692.00,140,1
20.91,100760.75,92.27,0.00,0.00,0.00,0.00,0.00,39595.00,14046892.00,172,1
20.89,100757.47,92.54,0.00,0.00,0.00,0.00,0.00,40304.00,14117492.00,116,1
20.87,100756.89,92.59,0.00,0.00,0.00,0.00,0.00,41014.00,14188434.00,146,1
20.83,100755.22,92.73,4.89,0.00,0.00,0.00,4.89,41723.00,14260156.00,188,1
20.80,100757.72,92.52,9.78,0.00,0.00,0.00,9.78,42434.00,14332460.00,44,1
20.77,100760.67,92.27,4.89,0.00,9.78,0.00,9.78,43143.00,14404116.00,20,1
20.72,100755.39,92.71,19.55,0.00,9.78,0.00,19.55,43851.00,14476870.00,70,1
20.66,100757.73,92.52,9.78,0.00,39.10,4.89,39.10,44562.00,14552578.00,2,1
20.61,100760.74,92.27,9.78,0.00,166.18,9.78,166.18,45273.00,14649854.00,254,1
20.60,100761.52,92.20,14.66,0.00,200.39,14.66,200.39,45986.00,14729044.00,84,1
20.62,100756.36,92.64,14.66,0.00,195.50,29.33,195.50,46702.00,14800660.00,20,1
20.61,100756.83,92.60,14.66,0.00,215.05,34.21,215.05,47417.00,14876602.00,186,1
20.60,100756.28,92.64,14.66,0.00,219.94,19.55,219.94,48134.00,14947762.00,178,1
20.60,100756.45,92.63,14.66,0.00,205.28,9.78,205.28,48849.00,15015370.00,202,1
20.58,100756.38,92.63,14.66,0.00,205.28,9.78,205.28,49565.00,15086960.00,112,1
20.54,100755.28,92.73,14.66,0.00,205.28,9.78,205.28,50280.00,15158356.00,84,1
20.47,100756.70,92.61,9.78,0.00,205.28,9.78,205.28,50995.00,15229490.00,50,1
20.40,100757.27,92.56,14.66,0.00,195.50,9.78,195.50,51707.00,15299268.00,196,1
20.37,100760.46,92.29,14.66,0.00,180.84,9.78,180.84,52423.00,15368226.00,34,1
20.35,100757.08,92.57,14.66,0.00,166.18,9.78,166.18,53137.00,15436382.00,94,1
20.34,100757.11,92.57,9.78,0.00,195.50,4.89,195.50,53852.00,15512770.00,194,1
20.32,100760.40,92.30,9.78,0.00,205.28,9.78,205.28,54565.00,15586812.00,252,1
20.29,100761.44,92.21,9.78,0.00,200.39,9.78,200.39,55280.00,15657428.00,212,1
20.27,100762.16,92.29,9.78,0.00,200.39,9.78,200.39,55994.00,15728906.00,10,1
20.24,100760.42,92.29,9.78,0.00,200.39,9.78,200.39,56708.00,15800128.00,64,1
20.21,100762.73,92.10,9.78,0.00,190.62,9.78,190.62,57420.00,15869584.00,144,1
20.16,100766.02,91.83,9.78,0.00,190.62,4.89,190.62,58135.00,15940892.00,28,1
20.12,100776.65,90.94,9.78,0.00,195.50,9.78,195.50,58848.00,16014626.00,34,1
20.07,100782.42,90.46,9.78,0.00,195.50,9.78,195.50,59561.00,16086450.00,178,1
20.02,100773.47,91.21,9.78,0.00,210.17,9.78,210.17,60275.00,16159956.00,212,1
19.95,100770.89,91.42,9.78,0.00,249.27,39.10,249.27,60990.00,16241968.00,48,1
19.85,100769.23,91.56,14.66,0.00,146.63,200.39,200.39,61704.00,16314672.00,48,1
19.69,100739.10,94.08,14.66,0.00,117.30,229.72,229.72,62420.00,16386428.00,124,1
19.62,100752.09,92.99,14.66,0.00,127.08,219.94,219.94,63137.00,16458332.00,92,1
19.65,100762.09,92.15,9.78,0.00,131.96,215.05,215.05,63854.00,16529976.00,56,1
19.67,100766.56,91.78,14.66,0.00,131.96,215.05,215.05,64569.00,16602376.00,8,1
19.68,100761.14,92.23,14.66,0.00,146.63,205.28,205.28,65285.00,16672992.00,224,1
19.66,100765.25,91.89,9.78,0.00,151.52,205.28,205.28,66001.00,16744966.00,6,1
19.65,100760.41,92.29,14.66,0.00,146.63,210.17,210.17,66716.00,16816996.00,100,1
19.61,100765.30,91.89,9.78,0.00,141.74,210.17,210.17,67433.00,16888164.00,100,1
19.56,100762.13,92.15,9.78,0.00,136.85,210.17,210.17,68150.00,16959078.00,102,1
19.56,100756.66,92.61,14.66,0.00,127.08,215.05,215.05,68866.00,17030668.00,12,1
19.54,100756.23,92.65,9.78,0.00,117.30,224.83,224.83,69582.00,17102716.00,124,1
19.51,100755.09,92.74,9.78,0.00,117.30,229.72,229.72,70298.00,17175186.00,146,1
19.48,100752.71,92.94,9.78,0.00,117.30,224.83,224.83,71015.00,17245686.00,246,1
19.44,100749.81,93.18,185.73,0.00,19.55,136.85,185.73,71732.00,17312228.00,228,1
19.36,100751.73,93.02,205.28,0.00,19.55,112.41,205.28,72449.00,17385564.00,92,1
19.29,100751.43,93.05,205.28,0.00,14.66,107.53,205.28,73165.00,17456152.00,24,1
19.23,100749.75,93.19,210.17,0.00,14.66,102.64,210.17,73881.00,17528080.00,16,1
19.16,100752.48,92.96,205.28,0.00,14.66,107.53,205.28,74598.00,17599534.00,46,1
19.09,100754.67,92.78,205.28,0.00,14.66,107.53,205.28,75314.00,17671328.00,160,1
19.07,100761.08,92.24,205.28,0.00,14.66,107.53,205.28,76032.00,17743714.00,98,1
19.06,100762.55,92.12,205.28,0.00,14.66,107.53,205.28,76747.00,17815346.00,50,1
19.02,100761.05,92.24,205.28,0.00,14.66,107.53,205.28,77464.00,17886906.00,186,1
19.00,100764.23,91.98,200.39,0.00,14.66,117.30,200.39,78181.00,17958896.00,240,1
18.99,100757.16,92.57,219.94,0.00,19.55,39.10,219.94,78899.00,18026624.00,128,1
18.92,100755.09,92.74,107.53,0.00,19.55,9.78,107.53,79614.00,18072512.00,192,1
18.86,100763.64,92.03,97.75,0.00,19.55,4.89,97.75,80330.00,18142446.00,238,1
18.83,100759.90,92.34,107.53,0.00,19.55,4.89,107.53,81043.00,18215354.00,186,1
18.80,100755.83,92.68,107.53,0.00,14.66,4.89,107.53,81759.00,18286090.00,10,1
18.79,100751.66,93.03,107.53,0.00,19.55,4.89,107.53,82472.00,18357496.00,248,1
18.76,100754.67,92.78,112.41,0.00,19.55,9.78,112.41,83188.00,18430834.00,114,1
18.71,100749.96,93.17,117.30,0.00,14.66,4.89,117.30,83903.00,18501900.00,12,1
18.67,100751.91,93.01,122.19,0.00,14.66,9.78,122.19,84618.00,18575040.00,192,1
18.68,100752.48,92.96,122.19,0.00,14.66,4.89,122.19,85332.00,18646004.00,244,1
18.68,100748.84,93.26,127.08,0.00,14.66,9.78,127.08,86048.00,18718738.00,18,1
18.64,100751.52,93.04,122.19,0.00,14.66,9.78,122.19,86762.00,18789402.00,26,1
18.61,100754.52,92.79,97.75,0.00,24.44,9.78,97.75,87477.00,18857262.00,46,1
18.60,100755.02,92.75,112.41,0.00,19.55,9.78,112.41,88188.00,18930852.00,164,1
18.60,100756.86,92.59,107.53,0.00,19.55,9.78,107.53,88904.00,19001642.00,42,1
18.60,100754.20,92.82,112.41,0.00,19.55,9.78,112.41,89618.00,19073776.00,240,1
18.57,100754.97,92.75,112.41,0.00,14.66,9.78,112.41,90334.00,19144956.00,252,1
18.54,100760.14,92.32,127.08,0.00,14.66,9.78,127.08,91048.00,19219760.00,48,1
18.49,100751.74,93.02,161.29,0.00,14.66,19.55,161.29,91763.00,19298304.00,0,1
18.49,100751.81,93.01,185.73,0.00,14.66,29.33,185.73,92477.00,19375576.00,216,1
18.50,100747.67,93.36,171.07,0.00,14.66,48.88,171.07,93194.00,19445918.00,158,1
18.49,100742.31,93.81,136.85,0.00,14.66,78.20,136.85,93910.00,19513118.00,30,1
18.30,100750.52,93.12,34.21,0.00,92.86,107.53,107.53,94625.00,19582906.00,186,1
18.23,100753.97,92.83,9.78,0.00,102.64,112.41,112.41,95341.00,19654328.00,184,1
18.18,100757.67,92.52,19.55,0.00,112.41,131.96,131.96,96058.00,19732224.00,0,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
00,0.00,0.00,0.00,0,1
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
?2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1
22.71,100678.95,99.10,0.00,0.00,0.00,0.00,0.00,2458102.00,255890272.00,96,1
22.71,100679.86,99.03,0.00,0.00,0.00,0.00,0.00,2458814.00,255961552.00,208,1
22.72,100680.61,98.97,0.00,0.00,0.00,0.00,0.00,2459527.00,256032928.00,160,1
22.72,100681.28,98.91,0.00,0.00,0.00,0.00,0.00,2460240.00,256104304.00,112,1
22.72,100682.47,98.81,0.00,0.00,0.00,0.00,0.00,2460953.00,256175696.00,80,1
22.71,100683.25,98.74,0.00,0.00,0.00,0.00,0.00,2461665.00,256246976.00,192,1
22.72,100684.64,98.63,0.00,0.00,0.00,0.00,0.00,2462377.00,256318304.00,96,1
22.72,100685.31,98.57,0.00,0.00,0.00,0.00,0.00,2463089.00,256389552.00,176,1
22.73,100689.34,98.23,0.00,0.00,0.00,0.00,0.00,2463803.00,256461328.00,16,1
22.73,100687.81,98.36,0.00,0.00,0.00,0.00,0.00,2464515.00,256532400.00,176,1
22.73,100687.81,98.36,0.00,0.00,0.00,0.00,0.00,2465227.00,256603600.00,208,1
22.72,100685.38,98.57,0.00,0.00,0.00,0.00,0.00,2465940.00,256674672.00,112,1
22.72,100687.45,98.39,0.00,0.00,0.00,0.00,0.00,2466654.00,256746256.00,16,1
22.73,100684.70,98.62,0.00,0.00,0.00,0.00,0.00,2467365.00,256817104.00,208,1
22.73,100688.08,98.34,0.00,0.00,0.00,0.00,0.00,2468078.00,256888720.00,144,1
22.72,100685.04,98.59,0.00,0.00,0.00,0.00,0.00,2468791.00,256959728.00,240,1
22.72,100685.66,98.54,0.00,0.00,0.00,0.00,0.00,2469504.00,257031104.00,192,1
22.73,100683.24,98.74,0.00,0.00,0.00,0.00,0.00,2470217.00,257102176.00,96,1
22.73,100684.94,98.60,0.00,0.00,0.00,0.00,0.00,2470929.00,257173520.00,16,1
22.74,100684.25,98.66,0.00,0.00,0.00,0.00,0.00,2471641.00,257244672.00,0,1
22.74,100681.91,98.86,0.00,0.00,0.00,0.00,0.00,2472351.00,257315456.00,128,1
22.73,100684.25,98.66,0.00,0.00,0.00,0.00,0.00,2473064.00,257386976.00,224,1
22.72,100684.02,98.68,0.00,0.00,0.00,0.00,0.00,2473778.00,257458352.00,176,1
22.74,100685.58,98.55,0.00,0.00,0.00,0.00,0.00,2474490.00,257529696.00,96,1
22.73,100684.16,98.67,0.00,0.00,0.00,0.00,0.00,2475202.00,257600752.00,240,1
22.73,100681.61,98.88,0.00,0.00,0.00,0.00,0.00,2475915.00,257671824.00,144,1
22.73,100684.16,98.67,0.00,0.00,0.00,0.00,0.00,2476627.00,257743248.00,144,1
22.73,100685.17,98.58,0.00,0.00,0.00,0.00,0.00,2477341.00,257814752.00,224,1
22.73,100686.63,98.46,0.00,0.00,0.00,0.00,0.00,2478766.00,257957376.00,0,1
22.73,100686.80,98.45,0.00,0.00,0.00,0.00,0.00,2479476.00,258028400.00,112,1
22.73,100687.74,98.37,0.00,0.00,0.00,0.00,0.00,2480189.00,258099776.00,64,1
22.74,100690.15,98.17,0.00,0.00,0.00,0.00,0.00,2480902.00,258171296.00,160,1
22.74,100690.11,98.17,0.00,0.00,0.00,0.00,0.00,2481614.00,258242496.00,192,1
22.74,100694.45,97.81,0.00,0.00,0.00,0.00,0.00,2482327.00,258314208.00,224,1
22.74,100695.53,97.72,0.00,0.00,0.00,0.00,0.00,2483040.00,258385600.00,192,1
22.75,100696.10,97.67,0.00,0.00,0.00,0.00,0.00,2483753.00,258456944.00,112,1
22.75,100694.65,97.79,0.00,0.00,0.00,0.00,0.00,2484466.00,258528128.00,128,1
22.76,100699.35,97.40,0.00,0.00,0.00,0.00,0.00,2485179.00,258599856.00,176,1
22.75,100694.03,97.84,0.00,0.00,0.00,0.00,0.00,2485892.00,258670656.00,64,1
22.75,100695.16,97.75,0.00,0.00,0.00,0.00,0.00,2486603.00,258741872.00,112,1
22.75,100690.52,98.14,0.00,0.00,0.00,0.00,0.00,2487317.00,258812848.00,176,1
22.76,100690.38,98.15,0.00,0.00,0.00,0.00,0.00,2488030.00,258884128.00,32,1
22.76,100690.20,98.16,0.00,0.00,0.00,0.00,0.00,2488741.00,258955200.00,192,1
22.76,100688.54,98.30,0.00,0.00,0.00,0.00,0.00,2489454.00,259026352.00,176,1
22.76,100689.22,98.25,0.00,0.00,0.00,0.00,0.00,2490168.00,259097824.00,224,1
22.76,100690.00,98.18,0.00,0.00,0.00,0.00,0.00,2490881.00,259169200.00,176,1
22.76,100691.52,98.05,0.00,0.00,0.00,0.00,0.00,2491593.00,259240528.00,80,1
22.77,100687.08,98.42,0.00,0.00,0.00,0.00,0.00,2492305.00,259311328.00,224,1
22.76,100689.56,98.22,0.00,0.00,0.00,0.00,0.00,2493018.00,259382848.00,64,1
22.77,100687.52,98.39,0.00,0.00,0.00,0.00,0.00,2493730.00,259453872.00,176,1
22.77,100692.34,97.99,0.00,0.00,0.00,0.00,0.00,2494443.00,259525600.00,224,1
22.77,100687.25,98.41,0.00,0.00,0.00,0.00,0.00,2495156.00,259596448.00,160,1
22.77,100686.16,98.50,0.00,0.00,0.00,0.00,0.00,2495868.00,259667552.00,96,1
22.77,100686.00,98.51,0.00,0.00,0.00,0.00,0.00,2496580.00,259738720.00,96,1
22.77,100681.32,98.91,0.00,0.00,0.00,0.00,0.00,2497293.00,259809600.00,64,1
22.77,100686.23,98.50,0.00,0.00,0.00,0.00,0.00,2498004.00,259881152.00,192,1
22.77,100687.02,98.43,0.00,0.00,0.00,0.00,0.00,2498717.00,259952528.00,144,1
22.78,100687.55,98.39,0.00,0.00,0.00,0.00,0.00,2499430.00,260023872.00,64,1
22.78,100690.43,98.14,0.00,0.00,0.00,0.00,0.00,2500143.00,260095424.00,192,1
22.78,100688.13,98.34,0.00,0.00,0.00,0.00,0.00,2500855.00,260166432.00,32,1
22.79,100691.64,98.04,0.00,0.00,0.00,0.00,0.00,2502279.00,260309152.00,160,1
22.78,100692.25,97.99,0.00,0.00,0.00,0.00,0.00,2502991.00,260380400.00,240,1
22.79,100693.41,97.90,0.00,0.00,0.00,0.00,0.00,2503705.00,260451904.00,64,1
22.78,100691.23,98.08,0.00,0.00,0.00,0.00,0.00,2504417.00,260522896.00,144,1
22.79,100692.29,97.99,0.00,0.00,0.00,0.00,0.00,2505129.00,260594208.00,32,1
22.79,100689.75,98.20,0.00,0.00,0.00,0.00,0.00,2505841.00,260665168.00,80,1
22.79,100693.23,97.91,0.00,0.00,0.00,0.00,0.00,2506553.00,260736704.00,192,1
22.79,100693.30,97.90,0.00,0.00,0.00,0.00,0.00,2507267.00,260808096.00,160,1
22.79,100696.28,97.66,0.00,0.00,0.00,0.00,0.00,2507979.00,260879568.00,208,1
22.79,100694.83,97.78,0.00,0.00,0.00,0.00,0.00,2508692.00,260950752.00,224,1
22.79,100693.57,97.88,0.00,0.00,0.00,0.00,0.00,2509405.00,261021920.00,224,1
22.80,100690.25,98.16,0.00,0.00,0.00,0.00,0.00,2510118.00,261092928.00,64,1
22.80,100690.42,98.14,0.00,0.00,0.00,0.00,0.00,2510830.00,261164128.00,96,1
22.80,100693.47,97.89,0.00,0.00,0.00,0.00,0.00,2511542.00,261235632.00,176,1
22.79,100689.84,98.19,0.00,0.00,0.00,0.00,0.00,2512254.00,261306480.00,112,1
22.78,100689.55,98.22,0.00,0.00,0.00,0.00,0.00,2512967.00,261377744.00,208,1
22.78,100689.92,98.19,0.00,0.00,0.00,0.00,0.00,2513681.00,261449200.00,240,1
22.79,100692.56,97.97,0.00,0.00,0.00,0.00,0.00,2514394.00,261520720.00,80,1
22.79,100688.32,98.32,0.00,0.00,0.00,0.00,0.00,2515105.00,261591456.00,160,1
22.79,100687.20,98.41,0.00,0.00,0.00,0.00,0.00,2515818.00,261662656.00,192,1
22.79,100688.48,98.31,0.00,0.00,0.00,0.00,0.00,2516532.00,261734144.00,0,1
